dataset,model,rmse,mse,pearson,spearman,ci,rm2
davis,MLSDTA,0.443,0.196,0.869,0.728,0.91,0.754
davis,dropnode_rate_01,0.449,0.201,0.866,0.723,0.906,0.748
davis,dropnode_rate_02,0.44,0.194,0.871,0.729,0.91,0.755
davis,dropnode_rate_03,0.442,0.195,0.87,0.723,0.906,0.748
davis,dropnode_rate_04,0.45,0.202,0.865,0.72,0.904,0.744
davis,dropnode_rate_05,0,0.196,0,0,0.91,0
davis,dropnode_rate_06,0.443,0.196,0.869,0.718,0.904,0.749
davis,dropnode_rate_07,0.447,0.2,0.867,0.72,0.905,0.735
davis,dropnode_rate_08,0.45,0.203,0.865,0.725,0.907,0.731
davis,dropnode_rate_09,0.449,0.202,0.866,0.724,0.907,0.733
davis,pool_rate_01,0.453,0.206,0.862,0.716,0.902,0.737
davis,pool_rate_02,0.445,0.198,0.868,0.722,0.906,0.744
davis,pool_rate_03,0.448,0.201,0.867,0.724,0.907,0.733
davis,pool_rate_04,0.446,0.199,0.867,0.72,0.904,0.745
davis,pool_rate_05,0.451,0.196,0.864,0.718,0.91,0.732
davis,pool_rate_06,0.451,0.203,0.864,0.718,0.903,0.732
davis,pool_rate_07,0.451,0.203,0.864,0.719,0.903,0.736
davis,pool_rate_08,0.449,0.201,0.866,0.715,0.901,0.731
davis,pool_rate_09,0.446,0.199,0.867,0.729,0.91,0.748
